Trace
Swept SA
A.14.10,N9010A
7170283,-100.371643770756
7180282,-101.348165756613
7190281,-100.767598469459
7200280,-99.7627885359917
7210279,-101.705969158926
7220278,-100.372454065141
7230277,-101.087851602302
7240276,-100.614450862451
7250275,-101.084832636322
7260274,-100.411385563022
7270273,-100.6283803508
7280272,-101.320173241821
7290271,-100.125564439655
7300270,-100.817233379651
7310269,-101.271898662336
7320268,-101.537364021468
7330267,-100.626301945826
7340266,-100.214079184294
7350265,-100.601000408112
7360264,-100.170641242781
7370263,-101.061778903249
7380262,-100.600374965779
7390261,-100.786504282043
7400260,-100.563927344643
7410259,-101.234080800615
7420258,-101.269593333786
7430257,-100.722708196565
7440256,-100.524228622221
7450255,-100.15000894484
7460254,-100.951384835331
7470253,-100.315932852572
7480252,-100.151957871955
7490251,-101.31681569679
7500250,-100.541588587949
7510249,-100.273648677128
7520248,-100.555024193759
7530247,-100.74977585088
7540246,-100.420293737955
7550245,-100.294119114288
7560244,-99.9870168072988
7570243,-100.921503610614
7580242,-100.968707240438
7590241,-100.576682867043
7600240,-100.126791023397
7610239,-100.840976415809
7620238,-100.091592602435
7630237,-101.219965494516
7640236,-100.810446690601
7650235,-100.948226011506
7660234,-101.354928042279
7670233,-100.929175080756
7680232,-100.685837454939
7690231,-100.793624174574
7700230,-100.901793304092
7710229,-100.685755863289
7720228,-100.355013889069
7730227,-100.789570622877
7740226,-100.609489736222
7750225,-100.614563729035
7760224,-100.628936943769
7770223,-101.48456133429
7780222,-100.870804802064
7790221,-100.742645323296
7800220,-100.761014035851
7810219,-100.992109758379
7820218,-100.856907375377
7830217,-101.157408550514
7840216,-100.905639316476
7850215,-100.465974929326
7860214,-100.782835759417
7870213,-100.814551967343
7880212,-101.137773401373
7890211,-101.103836424576
7900210,-101.241391854147
7910209,-100.799681810643
7920208,-101.145619387261
7930207,-100.808819328363
7940206,-100.997513866082
